Title,Genre,System,Year,,Amount,
The Legend of Zelda,AA,NES,1987,,6.51,
 The Adventure of Link,AA,NES,1988,,4.38,
 A Link to the Past,AA,SNES,1992,,4.61,
 Link's Awakening,AA,GB,1993,,3.83,
 Ocarina of Time,AA,N64,1998,,7.6,
 Majora's Mask,AA,N64,2000,,3.36,
 Oracle of Seasons,AA,GBC,2001,,3.99,
 Oracle of Ages,AA,GC,2001,,3.99,
 A Link to the Past & Four Swords,AA,GC,2003,,2.82,
 The Wind Waker,AA,GBA,2003,,4.43,
 Four Sword Adventures,AA,WII,2004,,0,
 The Minish Cap,AA,NDS,2005,,1.76,
 Twilight Princess,AA,WII,2006,,8.85,
 Phantom Hourglass,AA,NDS,2007,,4.76,
 Sprit Tracks,AA,NDS,2009,,2.96,
 Skyward Sword,AA,WII,2011,,3.67,
 A Link Between Worlds,AA,3DS,2013,,4.24,
 Tri Force Heros,AA,3DS,2015,,1.36,
 Breath of the Wild,AA,NSW,2018,,31.51,
 Tears of the Kingdom,AA,NSW,2023,,10,
